SchoolYear,RCDTS,School,Enrollment,FAEnrollment,iepp,,eavpp,doepp,ALLCourses,FACourses,ALLTeachers,FATeachers,ALLTeachersCalc,FATeachersCalc
2017,190221810042007,Prospect Elem School,397,397,10433.00,,616231.00,17217.00,3353,871,27,5,32,8
2017,190221810042008,The Lane Elem School,357,357,10433.00,,616231.00,17217.00,3031,792,28,5,35,12
2017,190221810042009,Walker School,276,276,10433.00,,616231.00,17217.00,2297,591,22,16,27,21
2017,190222000260020,Wheaton Warrenville South H S,2053,1164,7695.00,,224910.00,12636.00,26565,1981,126,9,135,12
2017,190222000260021,Wheaton North High School,2201,1319,7695.00,,224910.00,12636.00,28444,2220,133,10,140,14
2017,190222000261001,Monroe Middle School,786,680,7695.00,,224910.00,12636.00,9486,1410,55,5,58,8
2017,190222000261017,Edison Middle School,650,550,7695.00,,224910.00,12636.00,7744,1074,47,6,52,11
2017,190222000261018,Franklin Middle School,717,663,7695.00,,224910.00,12636.00,6993,1481,49,5,59,14
2017,190222000261020,Hubble Middle School,769,474,7695.00,,224910.00,12636.00,8255,495,54,4,57,7
2017,190222000262001,Emerson Elem School,318,268,7695.00,,224910.00,12636.00,2382,536,15,12,15,12
2017,190222000262002,Hawthorne Elem School,267,227,7695.00,,224910.00,12636.00,2048,464,13,11,13,11
2017,190222000262006,Lincoln Elem School,524,441,7695.00,,224910.00,12636.00,3953,886,21,18,21,18
2017,190222000262007,Longfellow Elem School,388,326,7695.00,,224910.00,12636.00,2923,652,16,14,17,15
2017,190222000262008,Lowell Elem School,380,325,7695.00,,224910.00,12636.00,2881,650,19,17,20,18
2017,190222000262009,Madison Elem School,480,385,7695.00,,224910.00,12636.00,3579,784,20,16,20,16
2017,190222000262010,Pleasant Hill Elem School,651,550,7695.00,,224910.00,12636.00,4896,1102,24,21,24,21
2017,190222000262011,Carl Sandburg Elem School,397,326,7695.00,,224910.00,12636.00,2961,652,17,15,17,15
2017,190222000262012,Washington Elementary School,457,386,7695.00,,224910.00,12636.00,3539,790,18,16,18,16
2017,190222000262013,Whittier Elem School,434,355,7695.00,,224910.00,12636.00,3238,710,18,15,18,15
2017,190222000262014,Wiesbrook Elem School,500,427,7695.00,,224910.00,12636.00,3791,854,20,17,22,19
2017,190222000262016,Bower Elem School,473,405,7695.00,,224910.00,12636.00,3598,812,24,22,24,22
2017,190222000262018,Clifford Johnson School,472,388,7695.00,,224910.00,12636.00,3521,778,21,19,21,19
2017,190222010260001,Westmont High School,457,247,11151.00,,371429.00,18354.00,6570,480,41,3,43,5
2017,190222010261004,Westmont Jr High School,284,253,11151.00,,371429.00,18354.00,1827,287,25,3,29,4
2017,190222010262001,J T Manning Elem School,366,353,11151.00,,371429.00,18354.00,2813,707,21,2,22,3
2017,190222010262002,C E Miller Elem School,237,224,11151.00,,371429.00,18354.00,1775,450,16,2,17,3
2017,190222020260001,Lisle High School,498,177,11113.00,,395508.00,18848.00,6354,490,42,4,43,5
2017,190222020261002,Lisle Jr High School,328,292,11113.00,,395508.00,18848.00,3699,548,37,5,38,6
2017,190222020262004,Schiesher Elem School,407,308,11113.00,,395508.00,18848.00,1332,616,22,2,23,3
2017,190222020262005,Tate Woods Elem School,208,205,11113.00,,395508.00,18848.00,823,410,14,2,15,3
2017,190222030260001,Naperville Central High School,2900,1378,8501.00,,264248.00,14545.00,37887,2207,215,15,222,20
2017,190222030260013,Naperville North High School,3505,1311,8501.00,,264248.00,14545.00,37423,2027,238,14,245,19
2017,190222030261009,Lincoln Jr High School,769,549,8501.00,,264248.00,14545.00,14997,1818,53,5,54,6
2017,190222030261010,Jefferson Jr High School,917,678,8501.00,,264248.00,14545.00,18358,2259,67,5,73,11
2017,190222030261011,Washington Jr High School,652,421,8501.00,,264248.00,14545.00,11883,1289,49,5,54,10
2017,190222030261012,Madison Jr High School,1110,466,8501.00,,264248.00,14545.00,14595,1634,75,7,78,10
2017,190222030261013,Kennedy Junior High School,1000,741,8501.00,,264248.00,14545.00,19447,2228,65,5,71,11
2017,190222030262002,Ellsworth Elem School,270,270,8501.00,,264248.00,14545.00,1999,610,22,4,26,8
2017,190222030262003,Elmwood Elem School,654,654,8501.00,,264248.00,14545.00,4901,1477,43,6,43,6
2017,190222030262004,Highlands Elem School,526,525,8501.00,,264248.00,14545.00,3896,1168,29,5,30,6
2017,190222030262005,Mill Street Elem School,678,678,8501.00,,264248.00,14545.00,4995,1526,39,6,40,7
2017,190222030262006,Naper Elem School,249,249,8501.00,,264248.00,14545.00,1806,537,19,4,21,6
2017,190222030262007,Prairie Elem School,501,486,8501.00,,264248.00,14545.00,3734,1074,30,4,36,10
2017,190222030262008,Maplebrook Elem School,458,457,8501.00,,264248.00,14545.00,3691,1050,27,5,32,10
2017,190222030262012,Beebe Elem School,962,566,8501.00,,264248.00,14545.00,5471,1280,69,5,72,8
2017,190222030262013,Steeple Run Elem School,581,564,8501.00,,264248.00,14545.00,4127,1243,36,6,38,8
2017,190222030262014,Scott Elementary School,441,436,8501.00,,264248.00,14545.00,3242,1007,28,4,31,7
2017,190222030262015,Ranch View Elementary School,505,493,8501.00,,264248.00,14545.00,3647,1108,29,5,30,6
2017,190222030262016,River Woods Elementary School,510,499,8501.00,,264248.00,14545.00,3679,1126,30,4,31,5
2017,190222030262017,Meadow Glens Elementary School,837,487,8501.00,,264248.00,14545.00,4719,1145,58,4,59,5
2017,190222030262018,Kingsley Elementary School,417,416,8501.00,,264248.00,14545.00,3081,930,28,4,30,6
2017,190222040260001,Waubonsie Valley High School,2620,1229,7209.00,,169795.00,11053.00,37451,2381,169,12,180,22
2017,190222040260002,Neuqua Valley High School,3726,1703,7209.00,,169795.00,11053.00,55511,3132,227,16,241,22
2017,190222040260005,Metea Valley High School,2910,1341,7209.00,,169795.00,11053.00,39802,2513,190,16,204,27
2017,190222040261001,Thayer J Hill Middle School,966,837,7209.00,,169795.00,11053.00,27017,3573,59,6,63,10
2017,190222040261002,Gordon Gregory Middle School,905,757,7209.00,,169795.00,11053.00,25574,3254,60,7,61,8
2017,190222040261003,Francis Granger Middle School,987,827,7209.00,,169795.00,11053.00,27565,3356,65,6,68,9
2017,190222040261004,Clifford Crone Middle School,1015,826,7209.00,,169795.00,11053.00,28882,3523,64,8,65,9
2017,190222040261005,Still Middle School,858,715,7209.00,,169795.00,11053.00,24134,3162,58,7,64,13
2017,190222040261006,Scullen Middle School,1061,876,7209.00,,169795.00,11053.00,29308,3556,60,6,62,8
2017,190222040261007,Fischer Middle School,968,809,7209.00,,169795.00,11053.00,27481,3590,68,6,75,12
2017,190222040262002,Longwood Elem School,404,395,7209.00,,169795.00,11053.00,4606,835,22,3,24,4
2017,190222040262005,Robert Clow Elem Sch,411,410,7209.00,,169795.00,11053.00,4536,826,19,2,19,2
2017,190222040262006,Brookdale Elementary School,618,614,7209.00,,169795.00,11053.00,6809,1238,29,4,30,5
2017,190222040262007,Georgetown Elementary School,561,557,7209.00,,169795.00,11053.00,6132,1118,29,2,30,3
2017,190222040262008,McCarty Elementary School,655,649,7209.00,,169795.00,11053.00,7211,1300,28,2,30,4
2017,190222040262009,Spring Brook Elementary School,653,649,7209.00,,169795.00,11053.00,7170,1302,31,2,33,3
2017,190222040262010,May Watts Elementary School,707,700,7209.00,,169795.00,11053.00,7888,1433,33,4,33,4
2017,190222040262012,Reba O Steck Elementary School,562,556,7209.00,,169795.00,11053.00,6179,1124,24,3,25,4
2017,190222040262013,Patterson Elementary School,532,529,7209.00,,169795.00,11053.00,5871,1066,29,3,34,8
2017,190222040262015,Gwendolyn Brooks Elementary,768,761,7209.00,,169795.00,11053.00,8396,1526,33,4,35,6
2017,190222040262016,White Eagle Elementary,588,571,7209.00,,169795.00,11053.00,6369,1158,27,4,35,12
2017,190222040262017,V Blanche Graham Elementary,378,376,7209.00,,169795.00,11053.00,4201,762,22,2,23,3
2017,190222040262018,Mary Lou Cowlishaw Elementary,707,693,7209.00,,169795.00,11053.00,7789,1415,29,2,31,3
2017,190222040262019,Oliver Julian Kendall Elem School,368,367,7209.00,,169795.00,11053.00,4036,734,20,3,23,6
2017,190222040262020,Peter M Gombert Elementary Sch,463,460,7209.00,,169795.00,11053.00,5090,924,23,2,25,4
2017,190222040262021,Nancy Young Elementary School,652,647,7209.00,,169795.00,11053.00,7152,1301,29,3,31,5
2017,190222040262022,Arlene Welch Elementary School,751,737,7209.00,,169795.00,11053.00,8188,1488,34,2,38,6
2017,190222040262023,Wayne Builta Elementary School,365,364,7209.00,,169795.00,11053.00,4093,744,24,2,25,3
2017,190222040262024,Fry Elementary School,570,565,7209.00,,169795.00,11053.00,6288,1142,29,4,34,9
2017,190222040262025,Owen Elementary School,585,580,7209.00,,169795.00,11053.00,6425,1168,27,4,29,6
2017,190222040262026,Danielle-Joy Peterson Elem Sch,697,694,7209.00,,169795.00,11053.00,7746,1404,33,4,37,8
2017,190222050260003,York Comm High School,3192,1271,8823.00,,254271.00,13744.00,39600,2394,199,16,209,22
2017,190222050261001,Bryan Middle School,719,717,8823.00,,254271.00,13744.00,9177,1608,55,5,60,8
2017,190222050261002,Churchville Middle School,557,551,8823.00,,254271.00,13744.00,6954,1195,48,4,48,4
2017,190222050261012,Sandburg Middle  School,724,719,8823.00,,254271.00,13744.00,9722,1670,54,8,61,13
2017,190222050262002,Edison Elem School,284,284,8823.00,,254271.00,13744.00,2816,623,23,6,27,10
2017,190222050262003,Conrad Fischer Elem School,453,448,8823.00,,254271.00,13744.00,4671,987,31,4,34,7
2017,190222050262004,Emerson Elem School,469,469,8823.00,,254271.00,13744.00,4774,1028,29,4,30,5
2017,190222050262005,Field Elem School,430,427,8823.00,,254271.00,13744.00,4308,950,28,5,32,9
2017,190222050262006,Hawthorne Elem School,506,505,8823.00,,254271.00,13744.00,5031,1099,29,4,34,9
2017,190222050262007,Jackson Elem School,452,451,8823.00,,254271.00,13744.00,4421,977,29,4,30,5
2017,190222050262008,Jefferson Elem School,381,377,8823.00,,254271.00,13744.00,3789,817,29,6,30,7
2017,190222050262009,Lincoln Elem School,552,551,8823.00,,254271.00,13744.00,5470,1175,31,4,32,4
