label,cap_length,number
19,5,0.012699446434386193
19,6,0.042005861282969716
19,7,0.0882448713774015
19,8,0.1045262129599479
19,9,0.12862259850211658
19,10,0.14718332790621946
19,11,0.20351676978183003
19,12,0.08791924454575056
19,13,0.07587105177466623
19,14,0.045262129599479
19,15,0.032888309996743734
19,16,0.008791924454575058
19,17,0.007163790296320417
19,18,0.005210029306414849
19,19,0.002930641484858352
19,20,0.002930641484858352
19,21,0.0006512536633018561
19,22,0.00032562683165092806
19,25,0.00032562683165092806
20,5,0.023255813953488372
20,6,0.11627906976744186
20,7,0.3023255813953488
20,8,0.3953488372093023
20,9,0.046511627906976744
20,10,0.046511627906976744
20,11,0.023255813953488372
20,12,0.046511627906976744
21,5,0.02040816326530612
21,6,0.04081632653061224
21,7,0.08163265306122448
21,8,0.10204081632653061
21,9,0.16326530612244897
21,10,0.2653061224489796
21,11,0.12244897959183673
21,12,0.061224489795918366
21,13,0.04081632653061224
21,14,0.02040816326530612
21,15,0.02040816326530612
21,16,0.02040816326530612
21,17,0.02040816326530612
21,20,0.02040816326530612
22,4,0.012345679012345678
22,5,0.024691358024691357
22,6,0.012345679012345678
22,7,0.024691358024691357
22,8,0.024691358024691357
22,9,0.09876543209876543
22,10,0.09876543209876543
22,11,0.30864197530864196
22,12,0.08641975308641975
22,13,0.16049382716049382
22,14,0.07407407407407407
22,15,0.037037037037037035
22,16,0.024691358024691357
22,17,0.012345679012345678
23,4,0.13513513513513514
23,5,0.02702702702702703
23,6,0.08108108108108109
23,7,0.08108108108108109
23,8,0.13513513513513514
23,9,0.1891891891891892
23,10,0.02702702702702703
23,11,0.08108108108108109
23,12,0.08108108108108109
23,13,0.08108108108108109
23,14,0.02702702702702703
23,15,0.02702702702702703
23,16,0.02702702702702703
24,4,0.05714285714285714
24,5,0.11428571428571428
24,6,0.05714285714285714
24,7,0.17142857142857143
24,8,0.08571428571428572
24,9,0.05714285714285714
24,11,0.17142857142857143
24,12,0.14285714285714285
24,13,0.08571428571428572
24,14,0.02857142857142857
24,15,0.02857142857142857
25,6,0.058823529411764705
25,7,0.23529411764705882
25,8,0.11764705882352941
25,9,0.08823529411764706
25,10,0.14705882352941177
25,11,0.20588235294117646
25,12,0.058823529411764705
25,13,0.058823529411764705
25,16,0.029411764705882353
26,7,0.05555555555555555
26,8,0.1111111111111111
26,10,0.5
26,11,0.16666666666666666
26,12,0.1111111111111111
26,13,0.05555555555555555
27,4,0.041666666666666664
27,5,0.125
27,7,0.16666666666666666
27,8,0.08333333333333333
27,10,0.041666666666666664
27,11,0.041666666666666664
27,13,0.25
27,14,0.125
27,15,0.08333333333333333
27,24,0.041666666666666664
28,7,0.047619047619047616
28,8,0.14285714285714285
28,9,0.14285714285714285
28,10,0.14285714285714285
28,11,0.19047619047619047
28,12,0.19047619047619047
28,13,0.09523809523809523
28,14,0.047619047619047616
29,5,0.041666666666666664
29,6,0.0625
29,7,0.16666666666666666
29,8,0.041666666666666664
29,9,0.125
29,10,0.08333333333333333
29,11,0.16666666666666666
29,12,0.10416666666666667
29,13,0.0625
29,14,0.041666666666666664
29,15,0.08333333333333333
29,16,0.020833333333333332
30,5,0.012048192771084338
30,6,0.08433734939759036
30,7,0.39759036144578314
30,8,0.3614457831325301
30,9,0.03614457831325301
30,10,0.03614457831325301
30,12,0.04819277108433735
30,14,0.012048192771084338
30,16,0.012048192771084338
31,6,0.22580645161290322
31,7,0.03225806451612903
31,8,0.06451612903225806
31,9,0.1935483870967742
31,10,0.25806451612903225
31,11,0.12903225806451613
31,12,0.03225806451612903
31,14,0.03225806451612903
31,15,0.03225806451612903
32,6,0.037037037037037035
32,7,0.2222222222222222
32,8,0.2962962962962963
32,9,0.037037037037037035
32,10,0.2962962962962963
32,11,0.1111111111111111
33,6,0.16666666666666666
33,7,0.20833333333333334
33,8,0.2916666666666667
33,9,0.08333333333333333
33,10,0.20833333333333334
33,12,0.041666666666666664
34,5,0.06818181818181818
34,6,0.13636363636363635
34,7,0.18181818181818182
34,8,0.045454545454545456
34,9,0.20454545454545456
34,10,0.13636363636363635
34,11,0.06818181818181818
34,12,0.09090909090909091
34,13,0.022727272727272728
34,16,0.045454545454545456
35,6,0.037037037037037035
35,8,0.18518518518518517
35,9,0.18518518518518517
35,10,0.18518518518518517
35,11,0.14814814814814814
35,12,0.18518518518518517
35,13,0.037037037037037035
35,19,0.037037037037037035
36,5,0.034482758620689655
36,6,0.13793103448275862
36,7,0.034482758620689655
36,8,0.10344827586206896
36,9,0.13793103448275862
36,10,0.27586206896551724
36,11,0.20689655172413793
36,13,0.034482758620689655
36,14,0.034482758620689655
37,6,0.08333333333333333
37,8,0.16666666666666666
37,9,0.3333333333333333
37,10,0.25
37,11,0.08333333333333333
37,14,0.08333333333333333
38,6,0.12
38,7,0.28
38,8,0.12
38,9,0.16
38,10,0.16
38,11,0.12
38,13,0.04
39,4,0.037037037037037035
39,5,0.018518518518518517
39,6,0.037037037037037035
39,7,0.2777777777777778
39,8,0.18518518518518517
39,9,0.07407407407407407
39,10,0.18518518518518517
39,11,0.09259259259259259
39,12,0.07407407407407407
39,14,0.018518518518518517
40,7,0.05
40,9,0.35
40,10,0.25
40,11,0.1
40,12,0.15
40,13,0.05
40,15,0.05
41,7,0.08333333333333333
41,9,0.3333333333333333
41,10,0.16666666666666666
41,11,0.25
41,12,0.08333333333333333
41,13,0.08333333333333333
42,8,0.2
42,10,0.3
42,11,0.3
42,12,0.1
42,25,0.1
43,6,0.16326530612244897
43,7,0.16326530612244897
43,8,0.1836734693877551
43,9,0.10204081632653061
43,10,0.30612244897959184
43,11,0.04081632653061224
43,12,0.02040816326530612
43,14,0.02040816326530612
44,6,0.05
44,7,0.25
44,8,0.6
44,9,0.05
44,11,0.05
45,6,0.23684210526315788
45,7,0.2894736842105263
45,8,0.10526315789473684
45,9,0.13157894736842105
45,10,0.13157894736842105
45,11,0.02631578947368421
45,12,0.02631578947368421
45,13,0.02631578947368421
45,14,0.02631578947368421
46,4,0.0011876484560570072
46,5,0.004750593824228029
46,6,0.12351543942992874
46,7,0.21852731591448932
46,8,0.20665083135391923
46,9,0.08669833729216152
46,10,0.19239904988123516
46,11,0.06769596199524941
46,12,0.05819477434679335
46,13,0.019002375296912115
46,14,0.004750593824228029
46,15,0.014251781472684086
46,16,0.0011876484560570072
46,19,0.0011876484560570072
47,5,0.035398230088495575
47,6,0.017699115044247787
47,7,0.1504424778761062
47,8,0.20353982300884957
47,9,0.09734513274336283
47,10,0.13274336283185842
47,11,0.1504424778761062
47,12,0.09734513274336283
47,13,0.061946902654867256
47,14,0.017699115044247787
47,15,0.017699115044247787
47,16,0.008849557522123894
47,21,0.008849557522123894
48,4,0.024390243902439025
48,6,0.024390243902439025
48,7,0.0975609756097561
48,8,0.07317073170731707
48,9,0.21951219512195122
48,10,0.0975609756097561
48,11,0.17073170731707318
48,12,0.0975609756097561
48,13,0.07317073170731707
48,14,0.04878048780487805
48,16,0.024390243902439025
48,17,0.024390243902439025
48,18,0.024390243902439025
49,6,0.058823529411764705
49,7,0.029411764705882353
49,8,0.17647058823529413
49,9,0.029411764705882353
49,10,0.08823529411764706
49,11,0.3235294117647059
49,12,0.11764705882352941
49,13,0.11764705882352941
49,15,0.029411764705882353
49,18,0.029411764705882353
50,5,0.0136986301369863
50,6,0.0410958904109589
50,7,0.0958904109589041
50,8,0.1506849315068493
50,9,0.273972602739726
50,10,0.2328767123287671
50,11,0.0684931506849315
50,12,0.0136986301369863
50,13,0.0821917808219178
50,14,0.0136986301369863
50,15,0.0136986301369863
51,6,0.009900990099009901
51,7,0.06930693069306931
51,8,0.12871287128712872
51,9,0.0594059405940594
51,10,0.04950495049504951
51,11,0.24752475247524752
51,12,0.1485148514851485
51,13,0.07920792079207921
51,14,0.04950495049504951
51,15,0.06930693069306931
51,16,0.039603960396039604
51,17,0.0297029702970297
51,18,0.009900990099009901
51,19,0.009900990099009901
52,6,0.05405405405405406
